
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    162.162.162.30:55722   23.105.254.132:443     ESTABLISHED     9872
  TCP    162.162.162.30:57559   64.233.165.188:5228    ESTABLISHED     12060
  TCP    162.162.162.30:57680   51.89.65.34:80         ESTABLISHED     2248
  TCP    162.162.162.30:57680   124.120.194.49:52189   ESTABLISHED     2248
  TCP    162.162.162.30:57695   85.10.193.220:443      ESTABLISHED     7536
  TCP    192.168.13.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.150.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:21                [::]:0                 LISTENING       2968
  TCP    [::]:88                [::]:0                 LISTENING       3148
  TCP    [::]:135               [::]:0                 LISTENING       680
  TCP    [::]:443               [::]:0                 LISTENING       3148
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:888               [::]:0                 LISTENING       2288
  TCP    [::]:1433              [::]:0                 LISTENING       8028
  TCP    [::]:1947              [::]:0                 LISTENING       3008
  TCP    [::]:2382              [::]:0                 LISTENING       3692
  TCP    [::]:2540              [::]:0                 LISTENING       4216
  TCP    [::]:2541              [::]:0                 LISTENING       5084
  TCP    [::]:2560              [::]:0                 LISTENING       5540
  TCP    [::]:2561              [::]:0                 LISTENING       5728
  TCP    [::]:2562              [::]:0                 LISTENING       5628
  TCP    [::]:2563              [::]:0                 LISTENING       5572
  TCP    [::]:2564              [::]:0                 LISTENING       5548
  TCP    [::]:2565              [::]:0                 LISTENING       5588
  TCP    [::]:2566              [::]:0                 LISTENING       5516
  TCP    [::]:2567              [::]:0                 LISTENING       5676
  TCP    [::]:2568              [::]:0                 LISTENING       5692
  TCP    [::]:2569              [::]:0                 LISTENING       5532
  TCP    [::]:2570              [::]:0                 LISTENING       5656
  TCP    [::]:2571              [::]:0                 LISTENING       5524
  TCP    [::]:2572              [::]:0                 LISTENING       5636
  TCP    [::]:2573              [::]:0                 LISTENING       5712
  TCP    [::]:2574              [::]:0                 LISTENING       5668
  TCP    [::]:2575              [::]:0                 LISTENING       5704
  TCP    [::]:2576              [::]:0                 LISTENING       6820
  TCP    [::]:3587              [::]:0                 LISTENING       7784
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       892
  TCP    [::]:49153             [::]:0                 LISTENING       1208
  TCP    [::]:49154             [::]:0                 LISTENING       1236
  TCP    [::]:49155             [::]:0                 LISTENING       1976
  TCP    [::]:49166             [::]:0                 LISTENING       1004
  TCP    [::]:49263             [::]:0                 LISTENING       996
  TCP    [::]:49264             [::]:0                 LISTENING       7264
  TCP    [::1]:1434             [::]:0                 LISTENING       8028
  TCP    [::1]:14147            [::]:0                 LISTENING       2968
  TCP    [::1]:49404            [::]:0                 LISTENING       10328
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:49204  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:49205  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:49237  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:49631  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:50267  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:51808  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:53786  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:54273  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:54687  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:54688  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:54896  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:54898  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:55173  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:55827  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:55830  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:57631  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:57694  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:63491  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2541  [fe80::d409:7142:582e:e52%16]:64118  ESTABLISHED     5084
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49244  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49294  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49310  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49514  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49529  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49545  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49559  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49592  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49611  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:49699  ESTABLISHED     5540
  TCP    [fe80::d409:7142:582e:e52%16]:2560  [fe80::d409:7142:582e:e52%16]:50040  ESTABLISHED     5540
